'Ka_mean = f(Inu)',
"'Given are: number of blocks, block length, turbulence intensity'",
"'Umean / Vcrit, <Ka>'",
,
0.66298,0.0025688
0.67624,0.0089254
0.6895,0.016294
0.70276,0.024606
0.71602,0.033772
0.72928,0.043684
0.74254,0.054225
0.7558,0.065266
0.76906,0.076678
0.78232,0.088329
0.79558,0.10009
0.80884,0.11184
0.8221,0.12347
0.83536,0.13487
0.84862,0.14595
0.86188,0.15662
0.87514,0.16681
0.8884,0.17646
0.90166,0.18552
0.91492,0.19395
0.92818,0.20171
0.94144,0.2088
0.9547,0.21519
0.96796,0.22088
0.98122,0.22586
0.99448,0.23015
1.0077,0.23374
1.021,0.23667
1.0343,0.23894
1.0475,0.24058
1.0608,0.24161
1.074,0.24205
1.0873,0.24193
1.1006,0.24128
1.1138,0.24013
1.1271,0.23849
1.1403,0.23641
1.1536,0.2339
1.1669,0.231
1.1801,0.22773
1.1934,0.22412
1.2066,0.22019
1.2199,0.21596
1.2331,0.21147
1.2464,0.20673
1.2597,0.20176
1.2729,0.19659
1.2862,0.19124
1.2994,0.18572
1.3127,0.18005
1.326,0.17424
1.3392,0.16832
1.3525,0.1623
1.3657,0.15619
1.379,0.15
1.3923,0.14375
1.4055,0.13745
1.4188,0.13111
1.432,0.12474
1.4453,0.11835
1.4586,0.11195
1.4718,0.10554
1.4851,0.099135
1.4983,0.092739
1.5116,0.08636
1.5249,0.080003
1.5381,0.073673
1.5514,0.067375
1.5646,0.061113
1.5779,0.054893
1.5912,0.048716
1.6044,0.042588
1.6177,0.036509
1.6309,0.030485
1.6442,0.024515
1.6575,0.018604
1.6707,0.012752
1.684,0.0069612
1.6972,0.001233
1.7105,-0.0044315
1.7238,-0.010031
1.737,-0.015566
1.7503,-0.021034
1.7635,-0.026435
1.7768,-0.03177
1.7901,-0.037037
1.8033,-0.042237
1.8166,-0.04737
1.8298,-0.052435
1.8431,-0.057434
1.8564,-0.062365
1.8696,-0.06723
1.8829,-0.072029
1.8961,-0.076763
1.9094,-0.081431
1.9227,-0.086034
1.9359,-0.090573
1.9492,-0.095049
1.9624,-0.099462
1.9757,-0.10381
1.989,-0.1081
2.0022,-0.11233
2.0155,-0.1165
2.0287,-0.1206
2.042,-0.12465
2.0552,-0.12864
2.0685,-0.13257
2.0818,-0.13645
2.095,-0.14026
0.4,NaN
0.49061,-0.007949
0.50387,-0.007982
0.51713,-0.0074927
0.53039,-0.0063851
0.54365,-0.0045821
0.55691,-0.0020286
0.57017,0.0013056
0.58343,0.0054266
0.59669,0.010317
0.60994,0.015938
0.6232,0.022233
0.63646,0.029131
0.64972,0.036551
0.66298,0.044402
0.67624,0.052592
0.6895,0.061026
0.70276,0.069611
0.71602,0.078257
0.72928,0.086879
0.74254,0.0954
0.7558,0.10375
0.76906,0.11186
0.78232,0.11967
0.79558,0.12715
0.80884,0.13424
0.8221,0.14092
0.83536,0.14715
0.84862,0.15292
0.86188,0.15821
0.87514,0.16302
0.8884,0.16733
0.90166,0.17116
0.91492,0.17449
0.92818,0.17734
0.94144,0.17972
0.9547,0.18163
0.96796,0.18309
0.98122,0.18412
0.99448,0.18473
1.0077,0.18494
1.021,0.18476
1.0343,0.18421
1.0475,0.18331
1.0608,0.18208
1.074,0.18053
1.0873,0.17869
1.1006,0.17657
1.1138,0.17419
1.1271,0.17157
1.1403,0.16872
1.1536,0.16565
1.1669,0.16239
1.1801,0.15894
1.1934,0.15533
1.2066,0.15156
1.2199,0.14766
1.2331,0.14362
1.2464,0.13946
1.2597,0.1352
1.2729,0.13084
1.2862,0.1264
1.2994,0.12188
1.3127,0.11729
1.326,0.11264
1.3392,0.10795
1.3525,0.10321
1.3657,0.098429
1.379,0.093622
1.3923,0.08879
1.4055,0.083941
1.4188,0.079079
1.432,0.074209
1.4453,0.069335
1.4586,0.064463
1.4718,0.059596
1.4851,0.054737
1.4983,0.04989
1.5116,0.045059
1.5249,0.040245
1.5381,0.035453
1.5514,0.030684
1.5646,0.02594
1.5779,0.021224
1.5912,0.016538
1.6044,0.011882
1.6177,0.0072601
1.6309,0.0026722
1.6442,-0.0018799
1.6575,-0.0063951
1.6707,-0.010872
1.684,-0.01531
1.6972,-0.019708
1.7105,-0.024065
1.7238,-0.028381
1.737,-0.032654
1.7503,-0.036884
1.7635,-0.04107
1.7768,-0.045213
1.7901,-0.049311
1.8033,-0.053364
1.8166,-0.057371
1.8298,-0.061333
1.8431,-0.065249
1.8564,-0.069118
1.8696,-0.072941
1.8829,-0.076718
1.8961,-0.080447
1.9094,-0.08413
1.9227,-0.087765
1.9359,-0.091353
1.9492,-0.094894
1.9624,-0.098387
1.9757,-0.10183
1.989,-0.10523
2.0022,-0.10858
2.0155,-0.11189
2.0287,-0.11515
2.042,-0.11836
2.0552,-0.12152
2.0685,-0.12464
2.0818,-0.12771
2.095,-0.13073
